"Albert, Michael",1501072311,MA,02169,10/10/1968,49,Male,Divorced,US Citizen,No,White,8/1/2011,,N/A - still employed,Active,54.50,Janet King,Employee Referral,Fully Meets
"Bozzi, Charles",1303054580,MA,01901,3/10/1970,47,Male,Single,US Citizen,No,Asian,9/30/2013,8/7/2014,retiring,Voluntarily Terminated,50.50,Janet King,Billboard,Fully Meets
"Butler, Webster  L",1110029990,MA,02169,8/9/1983,34,Male,Single,US Citizen,No,White,1/28/2016,,N/A - still employed,Active,55.00,Janet King,Pay Per Click - Google,Exceeds
"Dunn, Amy",1409070147,MA,01731,11/28/1973,44,Female,Single,US Citizen,No,White,9/18/2014,,N/A - still employed,Active,51.00,Janet King,Search Engine - Google Bing Yahoo,Fully Meets
"Gray, Elijiah",1307060077,MA,01752,7/11/1981,36,Male,Divorced,US Citizen,No,White,6/2/2015,,N/A - still employed,Active,54.00,Janet King,Employee Referral,Fully Meets
"Hogland, Jonathan",1001944783,MA,01890,7/1/1972,45,Male,Married,US Citizen,No,White,1/10/2011,12/12/2015,attendance,Terminated for Cause,48.50,Janet King,Employee Referral,Fully Meets
"Immediato, Walter",1403065874,MA,02128,11/15/1976,41,Male,Married,US Citizen,No,Asian,2/21/2011,9/24/2012,unhappy,Voluntarily Terminated,42.00,Janet King,Other,Needs Improvement
"Liebig, Ketsia",1103024679,MA,02110,10/26/1981,36,Female,Married,US Citizen,No,White,9/30/2013,,N/A - still employed,Active,55.00,Janet King,Website Banner Ads,Exceeds
"Miller, Brannon",1107027351,MA,02045,8/10/1981,36,Male,Single,US Citizen,yes,Hispanic,8/16/2012,,N/A - still employed,Active,53.00,Janet King,Internet Search,Fully Meets
"Peterson, Ebonee",1402065355,MA,02030,5/9/1977,40,Female,Married,US Citizen,No,White,10/25/2010,5/18/2016,Another position,Voluntarily Terminated,38.50,Janet King,Internet Search,Fully Meets
"Spirea, Kelley",1102024149,MA,02451,9/30/1975,42,Female,Married,US Citizen,No,White,10/2/2012,,N/A - still employed,Active,52.00,Janet King,Vendor Referral,Fully Meets
"Stanley, David",1000974650,MA,01803,12/17/1975,42,Male,Divorced,US Citizen,No,White,7/20/2010,,N/A - still employed,Active,53.00,Janet King,Monster.com,Needs Improvement
"Sullivan, Kissy",1405067298,MA,01776,3/28/1978,39,Female,Married,US Citizen,No,Black or African American,1/8/2009,,N/A - still employed,Active,55.00,Janet King,Billboard,Fully Meets
"Wallace, Courtney  E",1410071026,MA,02478,11/14/1955,62,Female,Married,US Citizen,No,Black or African American,9/26/2011,1/2/2012,Another position,Voluntarily Terminated,33.50,Janet King,Diversity Job Fair,Fully Meets
